subjID,TrialNum,List,ItemNum,Condition,TrialType,SentenceType,Sentence,Response
65979588762943733,1,2,57,Speaker_Error,exposure,insertion,A legislator lied to the consultant about for a new bill.,aaa
65979588762943733,2,2,98,Speaker_noError,filler,filler,A ghost appeared above the bed.,
65979588762943733,3,2,7,Speaker_noError,test,insertion,The bad lighting deteriorated from the woman's eyesight.,
65979588762943733,4,2,113,Speaker_Error,filler,filler,The train arrived at the station.,
65979588762943733,5,2,94,Speaker_noError,filler,filler,The mobile was hanging from the ceiling.,
65979588762943733,6,2,37,Speaker_noError,exposure,deletion,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,
65979588762943733,7,2,25,Speaker_Error,test,insertion,The chemotherapy shrank from the tumor.,
65979588762943733,8,2,27,Speaker_Error,test,swap,The bat swung the player.,
65979588762943733,9,2,127,Speaker_Error,filler,filler,The astronaut accepted the mission.,
65979588762943733,10,2,73,Speaker_noError,filler,filler,The man ordered some champagne for his girlfriend.,
65979588762943733,11,2,81,Speaker_noError,filler,filler,The church built a shelter for the homeless.,
65979588762943733,12,2,106,Speaker_Error,filler,filler,A cat jumped onto the table.,
65979588762943733,13,2,103,Speaker_Error,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,
65979588762943733,14,2,43,Speaker_noError,exposure,insertion,The trucker ordered a bartender to bring him a beer.,
65979588762943733,15,2,66,Speaker_Error,exposure,swap,The preacher irritated a parishioner because she used was to shorter sermons.,
65979588762943733,16,2,92,Speaker_noError,filler,filler,The bartender poured a drink for the customer.,
65979588762943733,17,2,96,Speaker_noError,filler,filler,An old woman lives in the woods.,
65979588762943733,18,2,39,Speaker_noError,exposure,insertion,A socialite was greeted by the butler with a plate of caviar.,
65979588762943733,19,2,129,Speaker_Error,filler,filler,The defendant's name was written on the check.,
65979588762943733,20,2,123,Speaker_Error,filler,filler,The athlete was treated by a nurse who had been listening to music.,
65979588762943733,21,2,70,Speaker_Error,exposure,swap,The advisee opened a file for the visitor some with trepidation.,
65979588762943733,22,2,22,Speaker_Error,test,insertion,The host tossed the contestant to the microphone.,
65979588762943733,23,2,64,Speaker_Error,exposure,swap,The defendant misled a juryman when she worked that she said for the government.,
65979588762943733,24,2,35,Speaker_noError,exposure,deletion,The paramedic helped an invalid into the brick building.,
65979588762943733,25,2,18,Speaker_Error,test,deletion,The player benefited the intense practice.,
65979588762943733,26,2,76,Speaker_noError,filler,filler,The small plant grew into a huge tree.,
65979588762943733,27,2,10,Speaker_noError,test,insertion,The daughter passed the mother to the bowl.,
65979588762943733,28,2,108,Speaker_Error,filler,filler,The painting hung on the bedroom wall.,
65979588762943733,29,2,63,Speaker_Error,exposure,swap,The cameraman was paid to follow a bridesmaid down the camera with his aisle.,
65979588762943733,30,2,65,Speaker_Error,exposure,swap,The robot killed a scientist from escaping before the laboratory.,
65979588762943733,31,2,72,Speaker_noError,filler,filler,The waitress fixed a sandwich for the customer.,
65979588762943733,32,2,93,Speaker_noError,filler,filler,The moose's head was mounted on the wall.,
65979588762943733,33,2,49,Speaker_noError,exposure,swap,The choreographer found a film starring the lead in the musical.,
65979588762943733,34,2,116,Speaker_Error,filler,filler,The hiker was rescued by a ranger who had been on patrol.,
65979588762943733,35,2,86,Speaker_noError,filler,filler,The soccer mom was offended by the journalist because he asked rude questions.,
65979588762943733,36,2,75,Speaker_noError,filler,filler,The journalist was ignored by the politician at the press conference.,
65979588762943733,37,2,24,Speaker_Error,test,insertion,The judge gave the athlete to the prize.,
65979588762943733,38,2,41,Speaker_noError,exposure,insertion,The presenter was criticized by a legislator because of his speech impediment.,
65979588762943733,39,2,87,Speaker_noError,filler,filler,The lab-assistant fetched a test-tube for the scientist.,
65979588762943733,40,2,4,Speaker_noError,test,deletion,The millionaire profited the tax reduction.,
65979588762943733,41,2,126,Speaker_Error,filler,filler,The dog trainer taught the puppy to roll over.,
65979588762943733,42,2,3,Speaker_noError,test,deletion,The actor handed the script the director.,
65979588762943733,43,2,97,Speaker_noError,filler,filler,The submarine captain accepted the mission.,
65979588762943733,44,2,128,Speaker_Error,filler,filler,The girl was pushed by the boy.,
65979588762943733,45,2,42,Speaker_noError,exposure,insertion,A bystander was rescued by the fireman in the nick of time.,
65979588762943733,46,2,61,Speaker_Error,exposure,insertion,The archivist found a document dating back to was the Nixon administration.,
65979588762943733,47,2,105,Speaker_Error,filler,filler,The travel agent reserved a flight for the businessman.,
65979588762943733,48,2,121,Speaker_Error,filler,filler,The runner trained for months before the marathon.,
65979588762943733,49,2,83,Speaker_noError,filler,filler,The boyfriend obtained some concert tickets for his girlfriend.,
65979588762943733,50,2,74,Speaker_noError,filler,filler,The woman was held by the man.,
65979588762943733,51,2,125,Speaker_Error,filler,filler,The receptionist saved some cake for her co-worker.,
65979588762943733,52,2,71,Speaker_noError,filler,filler,The woman saved a seat for her husband.,
65979588762943733,53,2,14,Speaker_noError,test,swap,The stamp licked the secretary.,
65979588762943733,54,2,85,Speaker_noError,filler,filler,The dental technician accepted the job at the new office even though it didn't pay much.,
65979588762943733,55,2,45,Speaker_noError,exposure,swap,The colonel was knighted by the queen because of his loyalty.,
65979588762943733,56,2,34,Speaker_noError,exposure,deletion,The commissioner wrote a report for the chairman.,
65979588762943733,57,2,78,Speaker_noError,filler,filler,The grocery store didn't have any more whole wheat bread in stock.,
65979588762943733,58,2,26,Speaker_Error,test,swap,The message read the assistant.,
65979588762943733,59,2,89,Speaker_noError,filler,filler,The jewelry-maker was commissioned by the millionaire.,
65979588762943733,60,2,120,Speaker_Error,filler,filler,The secretary ordered some office supplies for the boss.,
65979588762943733,61,2,95,Speaker_noError,filler,filler,The coach encouraged the team to score in the last quarter.,
65979588762943733,62,2,115,Speaker_Error,filler,filler,The father bought a bicycle for his son.,
65979588762943733,63,2,16,Speaker_Error,test,deletion,The uncle sold the truck the father.,
65979588762943733,64,2,80,Speaker_noError,filler,filler,The charity built a house for the hurricane victim.,
65979588762943733,65,2,28,Speaker_Error,test,swap,The oven cleaned the grandmother.,
65979588762943733,66,2,100,Speaker_Error,filler,filler,The chef cleaned the ladle before he stirred the soup.,
65979588762943733,67,2,53,Speaker_Error,exposure,deletion,The terrorist assassinated the newsman cold blood.,
65979588762943733,68,2,110,Speaker_Error,filler,filler,The name was engraved on the ring.,
65979588762943733,69,2,2,Speaker_noError,test,deletion,The patient's condition deteriorated the new medicine.,
65979588762943733,70,2,79,Speaker_noError,filler,filler,A magnificent diamond sparkled on the prince's finger.,
65979588762943733,71,2,90,Speaker_noError,filler,filler,The apple was placed on the teacher's desk.,
65979588762943733,72,2,40,Speaker_noError,exposure,insertion,The performer lifted the acrobat onto her shoulders gracefully.,
65979588762943733,73,2,102,Speaker_Error,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,
65979588762943733,74,2,50,Speaker_noError,exposure,swap,The runner filled a bottle with cold tap water.,
65979588762943733,75,2,31,Speaker_noError,exposure,deletion,The pirate stole the booty from an officer.,
65979588762943733,76,2,23,Speaker_Error,test,insertion,The long drought deteriorated from the soil.,
65979588762943733,77,2,44,Speaker_noError,exposure,insertion,The translator found a car for the ambassador because he could not speak Lebanese.,
65979588762943733,78,2,111,Speaker_Error,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,
65979588762943733,79,2,101,Speaker_Error,filler,filler,The helicopter hovered over the water.,
65979588762943733,80,2,19,Speaker_Error,test,deletion,The sculpture shattered the fall.,
65979588762943733,81,2,60,Speaker_Error,exposure,insertion,The acrobat respected after the ballerina because she went to Juilliard.,
65979588762943733,82,2,55,Speaker_Error,exposure,deletion,An analyst angered the economist after he interrupted phone conference five times.,
65979588762943733,83,2,5,Speaker_noError,test,deletion,The corrupt politicians profited the bribes.,
65979588762943733,84,2,56,Speaker_Error,exposure,deletion,The intern begged a programmer to edit the program because it due the next day.,
65979588762943733,85,2,52,Speaker_Error,exposure,deletion,The spy monitored a baroness several months.,
65979588762943733,86,2,33,Speaker_noError,exposure,deletion,The trainer filled a bag with ice for the injured client.,
65979588762943733,87,2,54,Speaker_Error,exposure,deletion,The witch was hanged an executioner promptly at dawn.,
65979588762943733,88,2,1,Speaker_noError,test,deletion,The quarterback passed the ball the receiver.,
65979588762943733,89,2,59,Speaker_Error,exposure,insertion,The pianist met with a beautician to about prepare for her recital.,
65979588762943733,90,2,82,Speaker_noError,filler,filler,The architect was commissioned by the large company.,
65979588762943733,91,2,112,Speaker_Error,filler,filler,The baby crawled into the hallway.,
65979588762943733,92,2,46,Speaker_noError,exposure,swap,The principal commended a parent for her ability to motivate her child.,
65979588762943733,93,2,62,Speaker_Error,exposure,insertion,The sculptor brought a shell from with the ocean floor.,
65979588762943733,94,2,51,Speaker_Error,exposure,deletion,The dealer shuffled deck before distributing the cards.,
65979588762943733,95,2,48,Speaker_noError,exposure,swap,The toddler hugged a teddybear because he was scared.,
65979588762943733,96,2,117,Speaker_Error,filler,filler,The ballet instructor encouraged her students to practice more.,
65979588762943733,97,2,67,Speaker_Error,exposure,swap,The playwright selected the resemblance because of his understudy to the lead actor.,
65979588762943733,98,2,124,Speaker_Error,filler,filler,The marathoner ran into the stadium.,
65979588762943733,99,2,114,Speaker_Error,filler,filler,The seamstress made a dress for her client.,
65979588762943733,100,2,47,Speaker_noError,exposure,swap,The Vikings raided a village in search of the warrior.,
65979588762943733,101,2,104,Speaker_Error,filler,filler,The grandmother made a quilt for her granddaughter.,
65979588762943733,102,2,11,Speaker_noError,test,swap,The watch bought the plumber.,
65979588762943733,103,2,15,Speaker_noError,test,swap,The table set the mother.,
65979588762943733,104,2,130,Speaker_Error,filler,filler,The bank robber spent thirty minutes cracking the code for the safe.,
65979588762943733,105,2,12,Speaker_noError,test,swap,The ball kicked the girl.,
65979588762943733,106,2,17,Speaker_Error,test,deletion,The scuba instructor rented the equipment the tourist.,
65979588762943733,107,2,32,Speaker_noError,exposure,deletion,The supplier described a scenario for the class after explaining basic concepts.,
65979588762943733,108,2,36,Speaker_noError,exposure,deletion,The rioter stapled the sign to a bulletin board in the corridor.,
65979588762943733,109,2,58,Speaker_Error,exposure,insertion,The insurer paid the victim because while his car had been destroyed.,
65979588762943733,110,2,38,Speaker_noError,exposure,insertion,The surgeon called for a nurse to assist him with the operation.,
65979588762943733,111,2,20,Speaker_Error,test,deletion,The janitor lent the mop the teacher.,
65979588762943733,112,2,9,Speaker_noError,test,insertion,The hot stove melted from the plastic handle.,
65979588762943733,113,2,8,Speaker_noError,test,insertion,The extra time benefited from the child with a learning disability.,
65979588762943733,114,2,77,Speaker_noError,filler,filler,The man was nudged by the woman.,
65979588762943733,115,2,6,Speaker_noError,test,insertion,The earthquake shattered from the house.,
65979588762943733,116,2,69,Speaker_Error,exposure,deletion,The spokesman toasted a muffin for the agent the early morning appointment.,
65979588762943733,117,2,118,Speaker_Error,filler,filler,The lawyer was insulted by the judge.,
65979588762943733,118,2,84,Speaker_noError,filler,filler,The cook baked a cake for Lucy.,
65979588762943733,119,2,109,Speaker_Error,filler,filler,Some treasure was found in the cave.,
65979588762943733,120,2,21,Speaker_Error,test,insertion,The construction noise worsened from the man's hearing.,
65979588762943733,121,2,30,Speaker_Error,test,swap,The blanket folded the daughter.,
65979588762943733,122,2,68,Speaker_Error,exposure,swap,The status conducted an inquiry into the professor of the file.,
65979588762943733,123,2,122,Speaker_Error,filler,filler,The TA was criticized by the professor.,
65979588762943733,124,2,99,Speaker_noError,filler,filler,The student spent all night studying and aced the test.,
65979588762943733,125,2,107,Speaker_Error,filler,filler,The apprentice fetched a hammer for the carpenter.,
65979588762943733,126,2,91,Speaker_noError,filler,filler,The nurse poured some water for the old man.,
65979588762943733,127,2,13,Speaker_noError,test,swap,The train boarded the granddaughter.,
65979588762943733,128,2,29,Speaker_Error,test,swap,The saw sharpened the father.,
65979588762943733,129,2,119,Speaker_Error,filler,filler,A flowering plant is on the window sill.,
65979588762943733,130,2,88,Speaker_noError,filler,filler,The sergeant assigned a locker to the private after the meeting.,bbbb
